Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade
INDUSBELLO IND DE INSTRUMENTOS ODONTOLÓGICOS LTDA.,ND,ND,ND,ND,Sub-região 17,Londrina
INDUSFRIO INDÚSTRIA DE REFRIGERAÇÃO LTDA - EPP,ND,ND,ND,ND,Sub-região 17,Londrina
INSTITUTO DE ENSINO SOMAY S/S LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
INSTITUTO GENESIS,ND,ND,ND,ND,Sub-região 17,Londrina
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 17,Londrina
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 17,Londrina
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 17,Londrina
IPÊ FÁBRICA DE SUBPRODUTOS DE ORIGEM ANIMAL LTDA - EPP,ND,ND,ND,ND,Sub-região 17,Londrina
IPIRANGA PRODUTOS DE PETROLEO S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
ITAMARATY IND COM SA,ND,ND,ND,ND,Sub-região 17,Londrina
ITAP BEMIS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
J MACEDO S/A,ND,ND,ND,ND,Sub-região 17,Londrina
J SAVARIEGO E GIMENES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
J. R. METAIS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
JAMEF TRANSPORTES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
JUCIANO PIRES MASSACANI SERVIÇOS E TREINAMENTOS,ND,ND,ND,ND,Sub-região 17,Londrina
JUVEMAR DE ALMEIDA,ND,ND,ND,ND,Sub-região 17,Londrina
KALUNGA COMÉRCIO E INDÚSTRIA GRAFICA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
KAPERSUL INDUSTRIA E COMERCIO DE PAPEIS S/A.,ND,ND,ND,ND,Sub-região 17,Londrina
KIYODAI - TRANSPORTES E ENCOMENDAS EIRELI,ND,ND,ND,ND,Sub-região 17,Londrina
KOZUE IMAI,ND,ND,ND,ND,Sub-região 17,Londrina
KURICA AMBIENTAL S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
"LACTALIS DO BRASIL - COMERCIO, IMPORTACAO E EXPORT DE LATICINIOS L",ND,ND,ND,ND,Sub-região 17,Londrina
LEÃO ENGENHARIA S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
LONDRINA BEBIDAS LTDA 01/10/14 - MUDOU CNPJ PARA AMBEV,ND,ND,ND,ND,,Piraí do Sul
LOUIS DREYFUS COMPANY BRASIL S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
MAGAZINE LUIZA S/A,ND,ND,ND,ND,Sub-região 17,Londrina
MAKIL INSTRUMENTOS DE MEDICAO LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
MANOEL CAMPINHA GARCIA CID,ND,ND,ND,ND,Sub-região 17,Londrina
MARED INDUSTRIA E COMERCIO DE SILOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
MAST PET INDUSTRIA E COMERCIO DE PRODUTOS PARA ANIMAIS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
MAXIMILIANO GAIDZINSKI S/A,ND,ND,ND,ND,Sub-região 17,Londrina
MGA SERVIÇOS AUXILIARES DO TRANSPORTES AEREO LTDA-ME,ND,ND,ND,ND,Sub-região 17,Londrina
MILENIA AGRO CIENCIAS S/A,ND,ND,ND,ND,Sub-região 17,Londrina
MOSAIC FERTILIZANTES P&K LTDA.,ND,ND,ND,ND,Sub-região 17,Londrina
MSE ENGENHARIA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
MULTIFIX BRASIL IND COM PARAFUSOS L TDA,ND,ND,ND,ND,Sub-região 17,Londrina
MULTQUIMICA PRODUTOS QUIMICOS LTDA - EPP,ND,ND,ND,ND,Sub-região 17,Londrina
MUTIRAO COM DERIVADOS PETROLEO LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
NEWTON VIEIRA BARBOSA,ND,ND,ND,ND,Sub-região 17,Londrina
NICOPEL EMBALAGENS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
NKF-CONFECCOES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
NOEN BIOTECNOLOGIA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
NORTIS FARMACÊUTICA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
ODEBRECHT COMERCIO E INDUSTRIA DE CAFE LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
PASTIFICIO SELMI S.A,ND,ND,ND,ND,Sub-região 17,Londrina
PEDREIRA EXPRESSA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
PEVESUL INDUSTRIA DE TUBOS E CONEXOES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
